,Timestamp, I prefer to do things with others rather than on my own., I prefer to do things the same way over and over again.," If I try to imagine something, I find it very easy to create a picture in my mind.", I frequently get so strongly absorbed in one thing that I lose sight of other things., I often notice small sounds when others do not., I usually notice car number plates or similar strings of information.," Other people frequently tell me that what I've said is impolite, even though I think it is polite."," When I'm reading a story, I can easily imagine what the characters might look like.", I am fascinated by dates.," In a social group, I can easily keep track of several different people's conversations.", I find social situations easy., I tend to notice details that others do not., I would rather go to a library than to a party., I find making up stories easy., I find myself drawn more strongly to people than to things.," I tend to have very strong interests, which I get upset about if I can't pursue.", I enjoy social chitchat.," When I talk, it isn't always easy for others to get a word in edgewise.", I am fascinated by numbers.," When I'm reading a story, I find it difficult to work out the characters' intentions.", I don't particularly enjoy reading fiction., I find it hard to make new friends., I notice patterns in things all the time., I would rather go to the theater than to a museum., It does not upset me if my daily routine is disturbed., I frequently find that I don't know how to keep a conversation going., I find it easy to 'read between the lines' when someone is talking to me.," I usually concentrate more on the whole picture, rather than on the small details.", I am not very good at remembering phone numbers., I don't usually notice small changes in a situation or a person's appearance., I know how to tell if someone listening to me is getting bored., I find it easy to do more than one thing at once.," When I talk on the phone, I'm not sure when it's my turn to speak.", I enjoy doing things spontaneously., I am often the last to understand the point of a joke., I find it easy to work out what someone is thinking or feeling just by looking at their face.," If there is an interruption, I can switch back to what I was doing very quickly.", I am good at social chitchat., People often tell me that I keep going on and on about the same thing.," When I was young, I used to enjoy playing games involving pretending with other children."," I like to collect information about categories of things (e.g., types of cars, birds, trains, plants).", I find it difficult to imagine what it would be like to be someone else., I like to carefully plan any activities I participate in., I enjoy social occasions., I find it difficult to work out people's intentions., New situations make me anxious., I enjoy meeting new people., I am a good diplomat., I am not very good at remembering people's date of birth., I find it very easy to play games with children that involve pretending.,Age,Sex,Which of the following best describes your current occupation?,How many years of education have you done?
0,28/06/2018 16:01:54,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Definitely agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Definitely disagree,Slightly disagree,Slightly agree,Slightly disagree,Definitely disagree,Slightly agree,Slightly disagree,Slightly disagree,Definitely agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,33.0,Male,"Life, Physical, and Social Science Occupations",completed Honours or Masters degree
1,25/05/2019 15:57:23,Definitely agree,Slightly agree,Definitely agree,Slightly agree,Slightly agree,Definitely agree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Definitely disagree,Slightly agree,Slightly disagree,Definitely agree,Slightly disagree,Slightly disagree,Definitely disagree,Slightly agree,Slightly agree,Definitely disagree,Definitely disagree,Slightly agree,Slightly agree,Definitely disagree,Definitely agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Definitely agree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly disagree,Definitely disagree,Slightly disagree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Slightly agree,Slightly disagree,Definitely agree,Slightly agree,Slightly agree,Slightly disagree,Definitely agree,37.0,Male,"Life, Physical, and Social Science Occupations",completed PhD
2,25/05/2019 15:58:12,Slightly disagree,Slightly agree,Definitely agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Definitely agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Definitely agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Definitely agree,Slightly disagree,Slightly disagree,Slightly agree,Definitely disagree,Definitely agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Definitely agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,35.0,Male,Architecture and Engineering Occupations,completed trade qualification
3,25/05/2019 15:58:37,Slightly disagree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly disagree,Slightly disagree,Definitely agree,Definitely disagree,Slightly agree,Definitely agree,Definitely agree,Slightly agree,Definitely agree,Slightly agree,Slightly agree,Slightly agree,Definitely disagree,Slightly disagree,Definitely disagree,Definitely disagree,Slightly disagree,Slightly agree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Definitely agree,Definitely agree,Slightly disagree,Definitely agree,Slightly agree,Definitely disagree,Slightly agree,Definitely disagree,Definitely agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Definitely disagree,Slightly disagree,Definitely disagree,Slightly agree,Definitely disagree,Slightly agree,Slightly agree,Slightly disagree,Definitely agree,Slightly agree,36.0,Male,Architecture and Engineering Occupations,completed Undergraduate degree
4,25/05/2019 15:59:26,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Definitely disagree,Definitely disagree,Slightly agree,Definitely disagree,Slightly disagree,Slightly disagree,Slightly agree,Definitely disagree,Slightly agree,Definitely agree,Slightly agree,Slightly agree,Definitely disagree,Slightly disagree,Slightly disagree,Definitely agree,Slightly agree,Slightly disagree,Definitely disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Definitely agree,Slightly agree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Definitely disagree,Slightly agree,Definitely disagree,Slightly agree,Slightly disagree,Definitely agree,Slightly agree,Definitely agree,Definitely agree,Definitely disagree,39.0,Male,Business and Financial Operations Occupations,completed Undergraduate degree
5,25/05/2019 15:59:40,Slightly agree,Definitely agree,Definitely agree,Slightly disagree,Definitely disagree,Definitely disagree,Definitely disagree,Definitely agree,Slightly disagree,Slightly agree,Definitely agree,Slightly agree,Definitely disagree,Slightly disagree,Definitely agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Definitely disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Definitely disagree,Definitely agree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Definitely disagree,Definitely agree,Definitely agree,Slightly agree,Slightly disagree,Slightly agree,Definitely disagree,Slightly disagree,Definitely disagree,Definitely agree,Slightly agree,Slightly disagree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,36.0,Male,Management Occupations,completed Undergraduate degree
6,25/05/2019 15:59:43,Slightly agree,Definitely disagree,Slightly agree,Slightly disagree,Slightly agree,Definitely disagree,Definitely disagree,Definitely agree,Definitely disagree,Definitely agree,Definitely agree,Definitely agree,Definitely disagree,Definitely agree,Slightly agree,Slightly disagree,Definitely agree,Definitely disagree,Slightly agree,Definitely disagree,Slightly disagree,Definitely disagree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Slightly agree,Definitely agree,Definitely disagree,Definitely agree,Definitely agree,Definitely disagree,Slightly agree,Definitely disagree,Definitely agree,Definitely agree,Definitely agree,Definitely disagree,Definitely agree,Definitely disagree,Definitely disagree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly agree,Definitely agree,Definitely agree,Definitely agree,42.0,Female,Architecture and Engineering Occupations,completed Honours or Masters degree
7,25/05/2019 16:00:00,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Definitely agree,Definitely disagree,Definitely agree,Slightly agree,Definitely agree,Slightly disagree,Definitely agree,Definitely agree,Slightly agree,Definitely disagree,Slightly agree,Slightly agree,Definitely disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Definitely agree,Slightly disagree,Slightly disagree,Definitely disagree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Slightly disagree,Definitely agree,Slightly disagree,Slightly disagree,Slightly disagree,Definitely agree,Slightly disagree,Slightly disagree,Slightly disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly agree,Definitely agree,Slightly agree,Slightly agree,30.0,Male,Architecture and Engineering Occupations,completed Honours or Masters degree
8,25/05/2019 16:00:05,Definitely agree,Definitely agree,Slightly agree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Slightly agree,Slightly agree,Definitely disagree,Definitely disagree,Slightly disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly agree,Slightly agree,Definitely disagree,Slightly agree,Slightly disagree,Slightly disagree,Definitely agree,Slightly agree,Definitely agree,Definitely disagree,Definitely agree,Slightly agree,Slightly disagree,Definitely agree,Definitely agree,Definitely agree,Definitely disagree,Definitely agree,Slightly disagree,Definitely disagree,Definitely disagree,Definitely disagree,Definitely disagree,Definitely disagree,Slightly disagree,Slightly agree,Slightly agree,Definitely agree,Slightly agree,Definitely agree,Definitely agree,Definitely disagree,Definitely disagree,Definitely agree,Definitely agree,35.0,Male,Food Preparation and Serving Related Occupations,completed Undergraduate degree
9,25/05/2019 16:02:30,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Slightly disagree,Definitely agree,Definitely agree,Slightly disagree,Definitely disagree,Slightly disagree,Slightly disagree,Slightly agree,Definitely disagree,Definitely disagree,Slightly agree,Slightly disagree,Definitely disagree,Slightly agree,Definitely agree,Slightly agree,Definitely disagree,Slightly agree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Definitely disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Definitely agree,Slightly agree,Definitely agree,Slightly agree,Slightly disagree,Slightly disagree,Definitely disagree,31.0,Female,Business and Financial Operations Occupations,completed year 12
